x,y,vx,vy,xt,yt,vxt,vyt
7.19215, 20.2213, -4.52629, -1.97153, 7.22939, 20.3326, -4.58448, -1.87399
6.9317, 20.1394, -4.53555, -2.04125, 7.00119, 20.2364, -4.54738, -1.97462
6.70773, 20.047, -4.49406, -2.11154, 6.7749, 20.1352, -4.50854, -2.07357
6.46007, 19.9571, -4.48809, -2.17744, 6.55059, 20.0292, -4.46805, -2.17079
6.24356, 19.8628, -4.43893, -2.25088, 6.32834, 19.9183, -4.42598, -2.26625
5.9833, 19.7707, -4.45628, -2.30022, 6.10823, 19.8027, -4.38241, -2.35993
5.76136, 19.6233, -4.37679, -2.49673, 5.89034, 19.6824, -4.33744, -2.45178
5.57289, 19.5026, -4.28147, -2.59113, 5.67472, 19.5577, -4.29114, -2.5418
5.37272, 19.3526, -4.18735, -2.73449, 5.46145, 19.4284, -4.24359, -2.62995
5.15478, 19.2524, -4.16105, -2.76732, 5.25059, 19.2948, -4.19488, -2.71622
4.95765, 19.1407, -4.11222, -2.77863, 5.04219, 19.157, -4.1451, -2.80059
4.78656, 18.9896, -3.99548, -2.89143, 4.8363, 19.015, -4.09432, -2.88305
4.58093, 18.8394, -3.93089, -3.00847, 4.63297, 18.8689, -4.04263, -2.96359
4.3981, 18.7075, -3.85652, -3.06738, 4.43224, 18.7188, -3.99012, -3.0422
4.21043, 18.5659, -3.80269, -3.09715, 4.23416, 18.5648, -3.93685, -3.11888
4.07634, 18.4087, -3.6496, -3.19218, 4.03876, 18.4071, -3.88293, -3.19362
3.89765, 18.2358, -3.53502, -3.36926, 3.84606, 18.2457, -3.82841, -3.26644
3.65289, 18.0959, -3.58682, -3.39175, 3.65611, 18.0807, -3.77339, -3.33732
3.48404, 17.9447, -3.52548, -3.40272, 3.46891, 17.9122, -3.71795, -3.40627
3.26463, 17.7787, -3.53006, -3.45615, 3.28449, 17.7402, -3.66215, -3.47331
3.08991, 17.595, -3.42945, -3.58954, 3.10287, 17.565, -3.60609, -3.53844
2.9062, 17.4772, -3.41701, -3.56372, 2.92405, 17.3866, -3.54982, -3.60167
2.76791, 17.2606, -3.23209, -3.75905, 2.74805, 17.2051, -3.49344, -3.66302
2.59375, 17.076, -3.17183, -3.82352, 2.57486, 17.0205, -3.437, -3.72251
2.42657, 16.9088, -3.14646, -3.80191, 2.4045, 16.833, -3.38059, -3.78014
2.26094, 16.7364, -3.09651, -3.83708, 2.23695, 16.6427, -3.32428, -3.83595
2.08731, 16.5414, -3.07159, -3.86197, 2.07221, 16.4497, -3.26812, -3.88995
1.93505, 16.3118, -2.9736, -3.97161, 1.91027, 16.254, -3.21219, -3.94216
1.77478, 16.1352, -2.95433, -3.95784, 1.75112, 16.0557, -3.15656, -3.99261
1.57234, 15.9677, -3.00693, -3.94704, 1.59474, 15.8549, -3.10129, -4.04132
1.44953, 15.7371, -2.84129, -4.09891, 1.44111, 15.6517, -3.04644, -4.08832
1.27955, 15.5211, -2.81347, -4.15726, 1.29021, 15.4463, -2.99207, -4.13364
1.12402, 15.328, -2.78621, -4.16953, 1.14201, 15.2386, -2.93825, -4.1773
0.91792, 15.1132, -2.84288, -4.20224, 0.996486, 15.0288, -2.88503, -4.21933
0.768246, 14.931, -2.83421, -4.16759, 0.853604, 14.8169, -2.83246, -4.25977
0.659309, 14.715, -2.70823, -4.22875, 0.71333, 14.603, -2.78061, -4.29864
0.550863, 14.4744, -2.55029, -4.3513, 0.575628, 14.3872, -2.72952, -4.33598
0.379128, 14.2546, -2.5658, -4.38399, 0.440459, 14.1696, -2.67925, -4.37181
0.266829, 14.0045, -2.40133, -4.5284, 0.307779, 13.9502, -2.62984, -4.40617
0.239868, 13.7535, -2.11441, -4.61978, 0.177545, 13.7292, -2.58135, -4.43909
0.141887, 13.5118, -1.97695, -4.70601, 0.0497099, 13.5065, -2.53381, -4.47061
-0.0230034, 13.2846, -2.02391, -4.72751, -0.0757753, 13.2823, -2.48728, -4.50075
-0.140787, 13.065, -1.99893, -4.71635, -0.198962, 13.0566, -2.44179, -4.52955
-0.157439, 12.8345, -1.73729, -4.75862, -0.319903, 12.8295, -2.39739, -4.55704
-0.278084, 12.6086, -1.75146, -4.7368, -0.438654, 12.6011, -2.35412, -4.58326
-0.397042, 12.3732, -1.7366, -4.76114, -0.555273, 12.3714, -2.31202, -4.60823
-0.524252, 12.1636, -1.77815, -4.72475, -0.669818, 12.1404, -2.27111, -4.63198
-0.605297, 11.9417, -1.69619, -4.736, -0.78235, 11.9083, -2.23144, -4.65456
-0.732921, 11.7142, -1.73768, -4.72534, -0.892931, 11.6751, -2.19304, -4.67598
-0.922581, 11.4744, -1.90193, -4.72476, -1.00163, 11.4409, -2.15594, -4.69628
-1.0331, 11.2472, -1.92895, -4.68631, -1.1085, 11.2057, -2.12017, -4.71549
-1.20641, 11.0217, -2.05871, -4.66662, -1.21362, 10.9695, -2.08575, -4.73364
-1.2838, 10.7763, -1.92909, -4.74027, -1.31706, 10.7324, -2.05273, -4.75075
-1.41066, 10.5245, -1.94811, -4.76702, -1.41889, 10.4945, -2.02111, -4.76686
-1.49308, 10.2639, -1.83734, -4.84271, -1.51917, 10.2559, -1.99093, -4.78198
-1.59574, 10.0516, -1.82483, -4.82242, -1.61797, 10.0165, -1.96221, -4.79615
-1.68645, 9.82047, -1.79429, -4.81709, -1.71539, 9.77637, -1.93498, -4.80939
-1.76491, 9.59752, -1.73367, -4.81396, -1.81147, 9.53564, -1.90924, -4.82172
-1.86966, 9.34816, -1.70223, -4.85903, -1.90631, 9.29431, -1.88502, -4.83316
-1.94784, 9.05917, -1.62617, -4.93101, -1.99998, 9.05243, -1.86233, -4.84374
-2.03732, 8.83397, -1.63012, -4.8988, -2.09256, 8.81003, -1.8412, -4.85347
